currency pair,volume(24h)
BTC/RUR,11 664 872.72 RUR
ETH/RUR,1 520 135.17 RUR
USD/RUR,442 421.57 RUR
PZM/RUR,340 034.39 RUR
XRP/RUR,24 441.36 RUR
EL/RUR,5 534.47 RUR
YOC/RUR,3 786.09 RUR
MSCN/RUR,1 492.82 RUR
KICK/RUR,0.00 RUR
ITI/RUR,0.00 RUR
LEO/RUR,0.00 RUR
SIB/RUR,0.00 RUR
BCH/RUR,0.00 RUR
HB/RUR,0.00 RUR
PIVX/RUR,0.00 RUR
THS/RUR,0.00 RUR
EMC/RUR,0.00 RUR
AMB/RUR,0.00 RUR
RLT/RUR,0.00 RUR
BIO/RUR,0.00 RUR
KRB/RUR,0.00 RUR
ITCM/RUR,0.00 RUR
DGB/RUR,0.00 RUR
DIME/RUR,47 929.25 RUR
PUT/RUR,0.00 RUR
ARC/RUR,0.00 RUR
MNC/RUR,0.00 RUR
LKE/RUR,0.00 RUR
